property_type,price,city,baths,bedrooms,Area Type,Area Size,Faisalabad,Islamabad,Karachi,Lahore,Kanal
Flat,3965000,Islamabad,2,2,Marla,4.2,0,1,0,0,0
Flat,3760000,Karachi,2,2,Marla,5.2,0,0,1,0,0
Flat,5656000,Islamabad,2,2,Marla,3.6,0,1,0,0,0
Flat,35100000,Karachi,3,3,Marla,12.2,0,0,1,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,4848000,Karachi,3,3,Marla,3.6,0,0,1,0,0
Flat,5049000,Karachi,2,0,Marla,4.0,0,0,1,0,0
House,32900000,Lahore,5,4,Marla,10.0,0,0,0,1,0
Flat,4790000,Karachi,2,2,Marla,4.2,0,0,1,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,7960000,Karachi,4,3,Marla,9.8,0,0,1,0,0
House,6642000,Karachi,3,3,Marla,5.0,0,0,1,0,0
House,6642000,Karachi,3,3,Marla,5.0,0,0,1,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,7960000,Karachi,4,3,Marla,9.8,0,0,1,0,0
Flat,3763000,Karachi,2,2,Marla,5.2,0,0,1,0,0
Flat,4090000,Karachi,2,2,Marla,5.7,0,0,1,0,0
Flat,4797000,Karachi,4,3,Marla,6.7,0,0,1,0,0
Flat,5136000,Karachi,4,3,Marla,7.1,0,0,1,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,7960000,Karachi,4,3,Marla,9.8,0,0,1,0,0
Flat,3763000,Karachi,2,2,Marla,5.2,0,0,1,0,0
Flat,4090000,Karachi,2,2,Marla,5.7,0,0,1,0,0
Flat,4797000,Karachi,4,3,Marla,6.7,0,0,1,0,0
Flat,5136000,Karachi,4,3,Marla,7.1,0,0,1,0,0
House,6642000,Karachi,3,3,Marla,5.0,0,0,1,0,0
House,37900000,Islamabad,6,6,Marla,14.2,0,1,0,0,0
Flat,31100000,Islamabad,0,1,Marla,5.1,0,1,0,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,7960000,Karachi,4,3,Marla,9.8,0,0,1,0,0
Flat,3763000,Karachi,2,2,Marla,5.2,0,0,1,0,0
Flat,4090000,Karachi,2,2,Marla,5.7,0,0,1,0,0
Flat,4797000,Karachi,4,3,Marla,6.7,0,0,1,0,0
Flat,5136000,Karachi,4,3,Marla,7.1,0,0,1,0,0
Flat,2997000,Islamabad,2,2,Marla,3.0,0,1,0,0,0
Flat,4666000,Karachi,2,2,Marla,5.8,0,0,1,0,0
Flat,7960000,Karachi,4,3,Marla,9.8,0,0,1,0,0
House,6642000,Karachi,3,3,Marla,5.0,0,0,1,0,0
